epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.1093,6.55715,7.73958,8.45876,0.00287,0.44736,0.00246,0.00059,6.50685,33.4188,10.349,0.00331738,0.00331738,0.00331738
2,62.6133,6.02861,6.4513,7.56551,0.18465,0.13387,0.0743,0.01722,5.63561,8.24463,7.05511,0.00660682,0.00660682,0.00660682
3,91.9175,4.54917,5.39036,5.72682,0.12219,0.13292,0.06777,0.01845,4.97706,6.86302,6.09358,0.00985226,0.00985226,0.00985226
4,122.673,3.8812,4.67093,4.76195,0.33861,0.394,0.29879,0.09083,4.19769,5.4741,5.1754,0.009802,0.009802,0.009802
5,155.319,3.53827,4.15911,4.40422,0.57714,0.39495,0.46055,0.17961,4.07298,3.63031,4.85986,0.009736,0.009736,0.009736
6,188.981,3.35472,3.78007,4.17978,0.47774,0.46543,0.45219,0.21913,3.77247,3.98902,4.63473,0.00967,0.00967,0.00967
7,224.781,3.27486,3.57854,4.05411,0.58237,0.55606,0.55089,0.22823,4.34431,3.16819,5.29431,0.009604,0.009604,0.009604
8,260.649,3.19244,3.39558,3.94944,0.7022,0.55832,0.64465,0.32656,3.51573,2.70349,4.25172,0.009538,0.009538,0.009538
9,298.139,3.06091,3.21851,3.81594,0.70328,0.60072,0.67999,0.32755,3.80347,2.42513,4.44109,0.009472,0.009472,0.009472
10,337.024,2.99025,3.08361,3.77366,0.74912,0.61982,0.70701,0.38568,3.3135,2.47773,3.95338,0.009406,0.009406,0.009406
11,376.175,2.9691,3.03742,3.71763,0.73382,0.61467,0.67189,0.35161,3.29937,2.68136,4.03212,0.00934,0.00934,0.00934
12,418.024,2.91052,2.88818,3.63855,0.88253,0.66572,0.77709,0.39258,3.42654,1.97825,4.06333,0.009274,0.009274,0.009274
13,457.87,2.88106,2.77229,3.58261,0.7892,0.66508,0.73387,0.4539,2.93845,2.20535,3.6687,0.009208,0.009208,0.009208
14,498.654,2.82747,2.74099,3.5446,0.84424,0.69978,0.79252,0.38307,3.50341,1.83491,4.30225,0.009142,0.009142,0.009142
15,540.83,2.74459,2.63037,3.47405,0.82539,0.70081,0.78825,0.40351,3.34439,1.89656,3.99761,0.009076,0.009076,0.009076
16,581.928,2.72587,2.62291,3.44952,0.81509,0.68556,0.77746,0.4905,2.83153,1.77578,3.55745,0.00901,0.00901,0.00901
17,627.252,2.6901,2.51773,3.39865,0.84933,0.69795,0.79089,0.48162,2.98223,1.69166,3.5461,0.008944,0.008944,0.008944
18,668.534,2.66171,2.49779,3.38515,0.83309,0.71463,0.80574,0.49329,2.84444,1.72875,3.52124,0.008878,0.008878,0.008878
19,715.023,2.64524,2.41954,3.34838,0.87755,0.74087,0.82732,0.52979,2.74401,1.56557,3.38847,0.008812,0.008812,0.008812
20,762.924,2.6097,2.37803,3.31487,0.83239,0.7313,0.81602,0.54124,2.55852,1.57352,3.28175,0.008746,0.008746,0.008746
21,811.432,2.61354,2.38977,3.30964,0.87461,0.72606,0.82344,0.52364,2.79787,1.55333,3.47648,0.00868,0.00868,0.00868
22,870.61,2.57685,2.33549,3.28469,0.8757,0.74273,0.82433,0.52372,2.79932,1.52171,3.38639,0.008614,0.008614,0.008614
23,922.652,2.54753,2.29721,3.2519,0.90942,0.73082,0.83745,0.52455,2.85144,1.66911,3.46232,0.008548,0.008548,0.008548
24,969.091,2.56936,2.28452,3.24,0.8897,0.75179,0.83869,0.55557,2.63625,1.50116,3.27585,0.008482,0.008482,0.008482
25,1016.21,2.51756,2.23617,3.23088,0.8988,0.73201,0.83448,0.56688,2.47204,1.49367,3.1632,0.008416,0.008416,0.008416
26,1060.78,2.48115,2.22039,3.18764,0.92704,0.75058,0.84605,0.56472,2.53725,1.39763,3.1887,0.00835,0.00835,0.00835
27,1106.42,2.49068,2.20605,3.18587,0.89262,0.74321,0.84098,0.57622,2.40914,1.50102,3.11357,0.008284,0.008284,0.008284
28,1151.63,2.47739,2.15299,3.16412,0.90233,0.75703,0.84172,0.56044,2.52739,1.47047,3.20665,0.008218,0.008218,0.008218
29,1198.17,2.43007,2.10975,3.14237,0.89479,0.76941,0.85625,0.58279,2.46121,1.36415,3.18602,0.008152,0.008152,0.008152
30,1244.85,2.44306,2.13057,3.13316,0.91672,0.77608,0.85814,0.57725,2.52187,1.38717,3.21609,0.008086,0.008086,0.008086
31,1294.47,2.38578,2.06819,3.11461,0.90841,0.76544,0.86373,0.55072,2.65583,1.3488,3.27937,0.00802,0.00802,0.00802
32,1336.58,2.38933,2.04752,3.09456,0.87972,0.75703,0.84363,0.60232,2.21428,1.32176,2.95822,0.007954,0.007954,0.007954
33,1384.34,2.39142,2.05622,3.07809,0.93156,0.76519,0.84813,0.58207,2.47015,1.3465,3.13224,0.007888,0.007888,0.007888
34,1427.81,2.39201,2.02684,3.06965,0.92606,0.79228,0.86746,0.59689,2.3373,1.29629,3.01068,0.007822,0.007822,0.007822
35,1472.55,2.36755,2.01508,3.06846,0.92315,0.78657,0.86188,0.58966,2.39628,1.23113,3.01244,0.007756,0.007756,0.007756
36,1516.97,2.33352,1.97724,3.03147,0.94671,0.7787,0.86156,0.57472,2.56509,1.30631,3.15598,0.00769,0.00769,0.00769
37,1561.14,2.33599,1.98256,3.0329,0.90917,0.7868,0.86253,0.5559,2.59224,1.28767,3.27836,0.007624,0.007624,0.007624
38,1606.92,2.32648,1.95258,3.00827,0.95085,0.78037,0.86448,0.56967,2.56966,1.31042,3.21896,0.007558,0.007558,0.007558
39,1653.69,2.35977,1.97121,3.01808,0.91246,0.78657,0.87243,0.5981,2.3944,1.25355,3.02572,0.007492,0.007492,0.007492
40,1700.81,2.3096,1.90836,2.99617,0.94771,0.7718,0.8704,0.59199,2.30545,1.21282,2.94561,0.007426,0.007426,0.007426
41,1747.11,2.2902,1.91173,2.99033,0.93494,0.7942,0.87315,0.6127,2.29147,1.1793,2.94795,0.00736,0.00736,0.00736
42,1794.22,2.31162,1.93074,2.98969,0.94551,0.78657,0.88644,0.61244,2.35574,1.20896,2.99458,0.007294,0.007294,0.007294
43,1838.38,2.28584,1.91128,2.9809,0.93974,0.76656,0.87188,0.63073,2.16854,1.17739,2.87434,0.007228,0.007228,0.007228
44,1884.91,2.25721,1.8508,2.96613,0.94527,0.79817,0.87519,0.60304,2.34083,1.17741,2.9894,0.007162,0.007162,0.007162
45,1929.94,2.28174,1.88509,2.97102,0.94377,0.77704,0.87616,0.60337,2.31414,1.19114,2.96111,0.007096,0.007096,0.007096
46,1974.83,2.25915,1.86006,2.94569,0.91973,0.79698,0.88769,0.61537,2.35103,1.20096,2.96803,0.00703,0.00703,0.00703
47,2027.67,2.26662,1.85475,2.94646,0.93652,0.78132,0.88142,0.63823,2.1955,1.13404,2.82256,0.006964,0.006964,0.006964
48,2074.46,2.24545,1.82249,2.94505,0.9303,0.78942,0.8781,0.6204,2.20204,1.15381,2.83892,0.006898,0.006898,0.006898
49,2119.28,2.23253,1.8202,2.93629,0.95225,0.77561,0.8827,0.63632,2.15531,1.18044,2.85585,0.006832,0.006832,0.006832
50,2163.47,2.21986,1.79133,2.91107,0.95555,0.79228,0.88317,0.62541,2.24884,1.12018,2.90445,0.006766,0.006766,0.006766
51,2209.63,2.22266,1.81334,2.89435,0.94733,0.79752,0.89061,0.62289,2.20111,1.16912,2.86954,0.0067,0.0067,0.0067
52,2253.53,2.17978,1.75842,2.87374,0.93386,0.78704,0.89124,0.63337,2.16822,1.15737,2.83023,0.006634,0.006634,0.006634
53,2300.54,2.22802,1.77369,2.88734,0.9297,0.80013,0.89514,0.63802,2.24402,1.15797,2.88136,0.006568,0.006568,0.006568
54,2343.5,2.2013,1.74379,2.87393,0.95119,0.80181,0.90103,0.65561,2.12226,1.11339,2.78652,0.006502,0.006502,0.006502
55,2391.25,2.18947,1.75889,2.88319,0.92777,0.80181,0.90185,0.65668,2.15757,1.13774,2.8052,0.006436,0.006436,0.006436
56,2436.76,2.17828,1.75729,2.86208,0.92708,0.79947,0.8957,0.63656,2.24886,1.14009,2.86235,0.00637,0.00637,0.00637
57,2482.66,2.13411,1.72644,2.85515,0.91468,0.81658,0.90271,0.66167,2.07563,1.07505,2.74732,0.006304,0.006304,0.006304
58,2528.5,2.17661,1.73761,2.8532,0.95601,0.79721,0.89547,0.65718,2.1484,1.12251,2.80307,0.006238,0.006238,0.006238
59,2572.64,2.13844,1.72084,2.85122,0.94383,0.81182,0.88813,0.64124,2.1139,1.06129,2.75803,0.006172,0.006172,0.006172
60,2616.36,2.12366,1.69759,2.83819,0.94886,0.79609,0.89203,0.65059,2.12189,1.11548,2.75586,0.006106,0.006106,0.006106
61,2661.02,2.15239,1.72068,2.83164,0.9225,0.81896,0.91342,0.67421,2.04737,1.09661,2.71626,0.00604,0.00604,0.00604
62,2705.54,2.15151,1.69783,2.82089,0.9416,0.83135,0.91838,0.68162,2.04069,1.07873,2.7078,0.005974,0.005974,0.005974
63,2750.31,2.13319,1.67901,2.82527,0.94044,0.81515,0.91172,0.6745,2.05034,1.10203,2.72809,0.005908,0.005908,0.005908
64,2793.73,2.10733,1.65745,2.80709,0.96181,0.804,0.91842,0.69386,1.95331,1.06715,2.66544,0.005842,0.005842,0.005842
65,2837.04,2.10803,1.65062,2.80211,0.92542,0.82767,0.91257,0.6847,2.00167,1.06342,2.71641,0.005776,0.005776,0.005776
66,2881.39,2.10633,1.66865,2.8146,0.92004,0.84417,0.91419,0.69476,1.93095,1.04848,2.63438,0.00571,0.00571,0.00571
67,2930.51,2.10416,1.64501,2.79677,0.93476,0.8504,0.92099,0.6887,2.01139,1.02915,2.69256,0.005644,0.005644,0.005644
68,2981.25,2.09982,1.63555,2.78961,0.93911,0.83945,0.91744,0.70044,1.89222,1.01954,2.64262,0.005578,0.005578,0.005578
69,3031.27,2.09857,1.64852,2.78922,0.95032,0.83839,0.91978,0.68281,2.05277,1.03956,2.70415,0.005512,0.005512,0.005512
70,3079.48,2.09885,1.61368,2.78145,0.93098,0.84832,0.91839,0.67615,2.11909,1.05753,2.74858,0.005446,0.005446,0.005446
71,3125.3,2.06566,1.60124,2.7636,0.92375,0.85612,0.9218,0.69703,1.96792,1.01936,2.65879,0.00538,0.00538,0.00538
72,3177.68,2.06141,1.59195,2.76731,0.93521,0.82468,0.91579,0.68298,2.03524,1.06483,2.71941,0.005314,0.005314,0.005314
73,3225.22,2.06054,1.58421,2.76027,0.94515,0.82102,0.91579,0.68405,2.02861,1.057,2.72825,0.005248,0.005248,0.005248
74,3278.83,2.0682,1.59949,2.75423,0.94405,0.83897,0.91948,0.69877,1.95517,1.01379,2.64974,0.005182,0.005182,0.005182
75,3332.99,2.04405,1.56048,2.74875,0.93978,0.83265,0.91814,0.69848,1.93825,1.01702,2.65416,0.005116,0.005116,0.005116
76,3387.38,2.03126,1.5558,2.74616,0.92768,0.83116,0.9155,0.69877,1.90718,1.01022,2.62747,0.00505,0.00505,0.00505
77,3439.71,2.04058,1.55401,2.73106,0.91901,0.84872,0.91747,0.69494,1.97167,1.02448,2.67123,0.004984,0.004984,0.004984
78,3491.78,2.01009,1.53583,2.72422,0.9272,0.84943,0.91934,0.69746,1.94915,0.99563,2.66466,0.004918,0.004918,0.004918
79,3551.02,2.0563,1.56375,2.73839,0.93039,0.8404,0.92068,0.68989,2.02282,1.01911,2.69578,0.004852,0.004852,0.004852
80,3604.71,2.03783,1.54029,2.72891,0.94691,0.8583,0.92426,0.69977,1.94421,1.00442,2.62334,0.004786,0.004786,0.004786
81,3660.22,2.01077,1.54245,2.71232,0.95101,0.84167,0.92047,0.68837,2.01582,1.01586,2.67042,0.00472,0.00472,0.00472
82,3715.48,2.00392,1.53001,2.71035,0.94302,0.84898,0.92457,0.69899,1.95682,0.99261,2.64032,0.004654,0.004654,0.004654
