epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,107.718,4.65351,7.20318,5.65779,0.2735,0.04808,0.01656,0.00412,4.60472,6.89854,6.02167,0.0005842,0.0005842,0.0005842
44,110.576,4.73316,7.24059,5.63013,0.2785,0.05128,0.01863,0.00498,4.66343,6.84719,5.94026,0.0005743,0.0005743,0.0005743
45,114.287,4.62408,7.02796,5.50733,0.34447,0.02833,0.02445,0.00625,4.73691,6.77659,5.938,0.0005644,0.0005644,0.0005644
46,117.052,4.38765,6.97684,5.40452,0.38697,0.03474,0.02774,0.00664,4.79905,6.77367,6.00268,0.0005545,0.0005545,0.0005545
47,120.383,4.44237,6.88067,5.40076,0.55153,0.02244,0.02597,0.00604,4.80541,6.92972,6.10168,0.0005446,0.0005446,0.0005446
48,123.349,4.56479,6.86915,5.49336,0.60108,0.02564,0.03436,0.00967,4.70241,6.79305,5.91186,0.0005347,0.0005347,0.0005347
49,126.272,4.3768,6.94606,5.40401,0.5103,0.22777,0.04717,0.01225,4.62602,6.76391,5.86674,0.0005248,0.0005248,0.0005248
50,129.099,4.34916,6.71043,5.39635,0.00509,0.25134,0.03463,0.00849,4.60023,6.97764,5.95745,0.0005149,0.0005149,0.0005149
51,132.048,4.42688,6.8512,5.32426,0.35062,0.02833,0.03352,0.00705,4.67199,7.02495,5.99133,0.000505,0.000505,0.000505
52,135.821,4.38712,6.81735,5.32163,0.34493,0.03577,0.03518,0.00799,4.70796,6.91148,5.90031,0.0004951,0.0004951,0.0004951
53,140.021,4.38053,6.70498,5.2547,0.4132,0.03102,0.03052,0.00741,4.70018,6.92909,5.91862,0.0004852,0.0004852,0.0004852
54,143.476,4.43301,6.74006,5.38423,0.27229,0.03526,0.02031,0.00565,4.72426,6.95924,5.9616,0.0004753,0.0004753,0.0004753
55,147.497,4.32994,6.55671,5.32988,0.80813,0.02564,0.03589,0.0114,4.60614,6.89466,5.86845,0.0004654,0.0004654,0.0004654
56,151.263,4.27468,6.7276,5.31694,0.59236,0.01603,0.04213,0.01461,4.5769,6.7658,5.83751,0.0004555,0.0004555,0.0004555
57,154.274,4.23762,6.68303,5.19925,0.81601,0.02531,0.02983,0.00816,4.67383,6.83717,5.94167,0.0004456,0.0004456,0.0004456
58,157.381,4.26575,6.4711,5.15165,0.7767,0.01923,0.03154,0.00759,4.64594,6.76752,5.86751,0.0004357,0.0004357,0.0004357
59,160.528,4.31576,6.64437,5.22452,0.15721,0.03726,0.05028,0.01201,4.58696,6.46293,5.69286,0.0004258,0.0004258,0.0004258
60,163.498,4.26877,6.61037,5.17273,0.12122,0.04921,0.0486,0.01309,4.62068,6.21079,5.63246,0.0004159,0.0004159,0.0004159
61,166.446,4.26643,6.60556,5.22669,0.65424,0.04973,0.04925,0.01393,4.59011,6.26401,5.66654,0.000406,0.000406,0.000406
62,169.529,4.23482,6.38148,5.12693,0.66305,0.04704,0.0478,0.01328,4.48772,6.40337,5.62499,0.0003961,0.0003961,0.0003961
63,172.775,4.16674,6.30181,5.01436,0.45036,0.03981,0.03897,0.01222,4.47313,6.54443,5.59916,0.0003862,0.0003862,0.0003862
64,175.779,4.23472,6.39234,5.07365,0.3926,0.03794,0.03574,0.01139,4.52523,6.65419,5.6915,0.0003763,0.0003763,0.0003763
65,178.942,4.30838,6.44907,5.14854,0.38529,0.03754,0.03747,0.01002,4.60491,6.71278,5.76575,0.0003664,0.0003664,0.0003664
66,182.135,4.20463,6.35698,4.91984,0.15755,0.03783,0.04835,0.01128,4.59039,6.63896,5.7566,0.0003565,0.0003565,0.0003565
67,185.222,4.16845,6.63352,5.03132,0.10104,0.04688,0.04681,0.01209,4.4989,6.66755,5.68099,0.0003466,0.0003466,0.0003466
68,188.373,4.06572,6.17596,4.88275,0.54441,0.05128,0.04133,0.01179,4.4583,6.66214,5.64166,0.0003367,0.0003367,0.0003367
69,191.456,4.01351,6.26517,4.90398,0.79749,0.04808,0.04289,0.0126,4.41172,6.6874,5.68567,0.0003268,0.0003268,0.0003268
70,195.014,4.10705,6.06546,5.02613,0.55483,0.04808,0.04163,0.01217,4.40394,6.74275,5.70329,0.0003169,0.0003169,0.0003169
71,198.44,4.10879,6.2564,4.93971,0.37495,0.04115,0.04268,0.01207,4.38891,6.67945,5.69978,0.000307,0.000307,0.000307
72,201.757,4.03363,6.15392,4.94757,0.44238,0.0331,0.04103,0.01109,4.42778,6.79918,5.76731,0.0002971,0.0002971,0.0002971
73,204.868,3.94297,6.16018,4.88834,0.80275,0.03205,0.03211,0.00806,4.52438,7.0489,5.8633,0.0002872,0.0002872,0.0002872
74,208.025,4.07836,6.13351,4.99922,0.79365,0.03846,0.03679,0.00824,4.60718,7.00674,5.87332,0.0002773,0.0002773,0.0002773
75,211.528,4.05087,6.04934,4.94273,0.74579,0.05135,0.04866,0.01158,4.59647,6.69061,5.76607,0.0002674,0.0002674,0.0002674
76,214.901,4.13097,6.13208,4.97965,0.41938,0.05679,0.04751,0.01371,4.4344,6.36947,5.61687,0.0002575,0.0002575,0.0002575
77,218.687,4.11628,6.09846,4.85107,0.42287,0.05986,0.05053,0.01482,4.45162,6.2028,5.55664,0.0002476,0.0002476,0.0002476
78,221.988,4.04777,6.20561,4.90817,0.54364,0.04808,0.05141,0.01439,4.44915,6.23705,5.58935,0.0002377,0.0002377,0.0002377
79,225.129,4.05378,6.07342,4.90856,0.54048,0.04808,0.04756,0.01434,4.42012,6.28082,5.59685,0.0002278,0.0002278,0.0002278
80,229.157,4.09175,6.10543,4.90628,0.79263,0.04487,0.05049,0.01717,4.40104,6.21549,5.56084,0.0002179,0.0002179,0.0002179
81,232.461,4.03744,6.01027,4.78963,0.55241,0.04487,0.05395,0.01769,4.38882,6.23929,5.56314,0.000208,0.000208,0.000208
82,235.963,4.01264,6.03035,4.85683,0.56984,0.05449,0.05199,0.01644,4.38011,6.26658,5.57248,0.0001981,0.0001981,0.0001981
83,239.034,3.92334,5.95957,4.88361,0.58669,0.05449,0.05039,0.0173,4.38544,6.31768,5.56946,0.0001882,0.0001882,0.0001882
84,242.379,3.89828,5.96205,4.77259,0.58164,0.05769,0.04298,0.01526,4.39202,6.39494,5.61412,0.0001783,0.0001783,0.0001783
85,245.587,4.01112,5.97023,4.82514,0.57236,0.05769,0.0465,0.01573,4.3837,6.35589,5.58381,0.0001684,0.0001684,0.0001684
86,248.722,3.78717,6.08159,4.76287,0.588,0.05802,0.04789,0.01586,4.35206,6.34929,5.57173,0.0001585,0.0001585,0.0001585
87,252.735,3.89217,5.88413,4.82196,0.55639,0.05449,0.04689,0.0154,4.3289,6.35953,5.56159,0.0001486,0.0001486,0.0001486
88,256.456,3.9026,6.01304,4.85031,0.30213,0.0609,0.05143,0.01603,4.32165,6.32438,5.53655,0.0001387,0.0001387,0.0001387
89,260.302,4.02339,5.8888,4.78871,0.12282,0.07191,0.05529,0.01838,4.30213,6.23398,5.48926,0.0001288,0.0001288,0.0001288
90,263.779,3.82778,5.87461,4.83253,0.06121,0.0561,0.0552,0.01733,4.32872,6.27935,5.52134,0.0001189,0.0001189,0.0001189
91,268.942,3.66096,6.97693,5.08275,0.35337,0.06917,0.05492,0.01785,4.26774,6.2806,5.48454,0.000109,0.000109,0.000109
92,272.484,3.59293,6.79021,5.01162,0.30154,0.05769,0.05494,0.01729,4.30113,6.2293,5.49304,9.91e-05,9.91e-05,9.91e-05
93,275.668,3.62336,6.53,5.0062,0.10975,0.06381,0.05685,0.01787,4.29008,6.19818,5.48171,8.92e-05,8.92e-05,8.92e-05
94,279.483,3.67824,6.51231,4.93658,0.05266,0.05128,0.0553,0.01712,4.30369,6.20504,5.48456,7.93e-05,7.93e-05,7.93e-05
95,282.893,3.75403,6.62664,5.18319,0.06961,0.06185,0.06619,0.02134,4.25591,6.13051,5.40556,6.94e-05,6.94e-05,6.94e-05
96,286.384,3.6136,6.54122,5.07792,0.0928,0.07179,0.06773,0.02115,4.21398,6.13829,5.34566,5.95e-05,5.95e-05,5.95e-05
97,289.614,3.65294,6.46285,5.05693,0.16987,0.07589,0.06936,0.02417,4.24533,6.08667,5.36122,4.96e-05,4.96e-05,4.96e-05
98,292.815,3.56654,6.53538,4.98542,0.14816,0.08871,0.07132,0.02406,4.25431,6.08729,5.36917,3.97e-05,3.97e-05,3.97e-05
99,296.108,3.55565,6.42161,4.89971,0.1367,0.08871,0.07346,0.02425,4.24243,6.07621,5.35125,2.98e-05,2.98e-05,2.98e-05
100,299.608,3.50549,6.30686,4.96937,0.12743,0.08871,0.07323,0.02337,4.23896,6.072,5.35701,1.99e-05,1.99e-05,1.99e-05
