epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,75.04,4.84826,5.87531,5.38672,0.00588,0.30935,0.01596,0.00515,5.20278,6.06592,5.5958,0.0005842,0.0005842,0.0005842
44,76.739,4.94823,5.95136,5.40953,0.00993,0.22353,0.01583,0.00486,5.27903,6.10001,5.47214,0.0005743,0.0005743,0.0005743
45,78.4354,4.95207,5.75123,5.23719,0.02777,0.10835,0.01673,0.00491,5.09234,6.08137,5.30867,0.0005644,0.0005644,0.0005644
46,79.9978,4.71906,5.83033,5.24715,0.02244,0.04673,0.01622,0.005,5.13635,6.12541,5.35814,0.0005545,0.0005545,0.0005545
47,81.5122,4.68891,5.7052,5.15207,0.0522,0.03278,0.01941,0.00602,5.42887,6.23584,5.66201,0.0005446,0.0005446,0.0005446
48,82.9056,4.768,5.77454,5.25027,0.0846,0.02471,0.02293,0.00694,5.22076,6.12263,5.5779,0.0005347,0.0005347,0.0005347
49,85.0519,4.67989,5.76509,5.25304,0.05379,0.01168,0.02129,0.00586,5.03309,6.04501,5.47271,0.0005248,0.0005248,0.0005248
50,86.7047,4.59177,5.57519,5.19358,0.058,0.02089,0.02188,0.00765,5.04584,6.05473,5.48423,0.0005149,0.0005149,0.0005149
51,88.2733,4.64479,5.70501,5.17021,0.02104,0.08075,0.01655,0.00535,5.09738,6.04865,5.45986,0.000505,0.000505,0.000505
52,89.8111,4.7291,5.63012,5.17155,0.01011,0.23625,0.0179,0.00592,4.8882,6.00895,5.28247,0.0004951,0.0004951,0.0004951
53,91.5016,4.71635,5.6394,5.1488,0.00694,0.35163,0.01848,0.00601,4.76078,5.89009,5.11982,0.0004852,0.0004852,0.0004852
54,93.903,4.71792,5.59531,5.09377,0.00657,0.34357,0.01975,0.00603,4.72128,5.87849,5.11783,0.0004753,0.0004753,0.0004753
55,96.3948,4.57395,5.49193,5.02505,0.00995,0.28505,0.01965,0.00614,4.84396,5.9696,5.24299,0.0004654,0.0004654,0.0004654
56,98.2249,4.50913,5.72617,5.16293,0.00792,0.27699,0.01664,0.00501,4.81255,6.13914,5.34092,0.0004555,0.0004555,0.0004555
57,100.329,4.59195,5.54293,5.06133,0.00548,0.2867,0.01528,0.00494,4.88294,6.10196,5.41331,0.0004456,0.0004456,0.0004456
58,102.203,4.58321,5.45736,4.96359,0.04188,0.02089,0.02158,0.00658,4.97833,6.19807,5.55885,0.0004357,0.0004357,0.0004357
59,104.319,4.56623,5.58196,5.06562,0.03017,0.06472,0.01721,0.00525,5.02809,6.323,5.67015,0.0004258,0.0004258,0.0004258
60,106.622,4.43956,5.59767,5.02256,0.03531,0.06793,0.01539,0.00477,5.04673,6.26137,5.64103,0.0004159,0.0004159,0.0004159
61,108.95,4.44844,5.59902,5.04828,0.03745,0.07651,0.0231,0.0066,5.08939,6.02316,5.53992,0.000406,0.000406,0.000406
62,111.002,4.53152,5.45774,4.95896,0.04634,0.06421,0.02271,0.00682,5.10186,5.91343,5.47422,0.0003961,0.0003961,0.0003961
63,113.549,4.31862,5.35604,4.87213,0.05268,0.06638,0.02724,0.008,4.94538,5.84206,5.2925,0.0003862,0.0003862,0.0003862
64,115.36,4.39247,5.5223,4.86191,0.06065,0.02843,0.01943,0.00625,4.75403,5.96291,5.21929,0.0003763,0.0003763,0.0003763
65,117.139,4.52463,5.42127,4.87905,0.05953,0.02574,0.01887,0.006,4.77978,6.11043,5.3135,0.0003664,0.0003664,0.0003664
66,119.501,4.40211,5.41122,4.82214,0.04966,0.02306,0.01896,0.00617,4.77687,6.21481,5.30568,0.0003565,0.0003565,0.0003565
67,121.651,4.45704,5.5804,4.95798,0.04286,0.02409,0.01904,0.00678,4.78252,6.17421,5.25056,0.0003466,0.0003466,0.0003466
68,123.797,4.24778,5.26685,4.83608,0.08566,0.0273,0.02933,0.01077,4.73356,6.06077,5.26245,0.0003367,0.0003367,0.0003367
69,126.009,4.29123,5.35298,4.85167,0.19222,0.0305,0.02629,0.00866,4.91068,6.05669,5.37257,0.0003268,0.0003268,0.0003268
70,128.343,4.39086,5.23228,4.82389,0.11105,0.04332,0.02776,0.0093,4.99968,6.00333,5.43711,0.0003169,0.0003169,0.0003169
71,130.373,4.30481,5.35235,4.86977,0.07976,0.02821,0.02954,0.00949,5.07726,5.91437,5.54229,0.000307,0.000307,0.000307
72,132.553,4.15437,5.32233,4.83636,0.00594,0.29549,0.02143,0.0061,5.10891,5.94515,5.51426,0.0002971,0.0002971,0.0002971
73,135.03,4.19113,5.25188,4.75282,0.00616,0.31421,0.01724,0.00523,4.98505,5.98339,5.42826,0.0002872,0.0002872,0.0002872
74,137.611,4.36847,5.33231,4.81728,0.00617,0.31152,0.01819,0.00549,4.91694,6.00269,5.33338,0.0002773,0.0002773,0.0002773
75,140.054,4.21251,5.24279,4.81519,0.02252,0.06307,0.02049,0.00588,4.93796,6.06603,5.29099,0.0002674,0.0002674,0.0002674
76,142.327,4.41645,5.29746,4.84179,0.03868,0.02017,0.02101,0.00653,4.92151,6.08218,5.27746,0.0002575,0.0002575,0.0002575
77,144.369,4.45844,5.23003,4.75839,0.03693,0.02512,0.0187,0.00594,4.79448,6.05193,5.19133,0.0002476,0.0002476,0.0002476
78,146.309,4.28709,5.34341,4.82455,0.03218,0.02512,0.01775,0.00547,4.78302,6.0289,5.20213,0.0002377,0.0002377,0.0002377
79,148.554,4.32437,5.29292,4.70449,0.05123,0.02412,0.01928,0.00535,4.73533,6.03619,5.25057,0.0002278,0.0002278,0.0002278
80,150.594,4.37626,5.34834,4.79608,0.02637,0.02192,0.01822,0.00495,4.75047,6.07319,5.28295,0.0002179,0.0002179,0.0002179
81,152.496,4.29349,5.09471,4.732,0.0212,0.04249,0.02142,0.00564,4.80597,6.02977,5.31878,0.000208,0.000208,0.000208
82,154.556,4.24198,5.15232,4.742,0.03409,0.03474,0.02262,0.0071,4.85951,6.03572,5.38649,0.0001981,0.0001981,0.0001981
83,156.861,4.25497,5.17355,4.76325,0.05056,0.02833,0.02331,0.00725,4.80748,6.03688,5.34879,0.0001882,0.0001882,0.0001882
