epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,901.941,2.42566,1.99114,3.07396,0.78927,0.76106,0.86789,0.58979,2.30283,1.50653,3.27433,0.0011684,0.0011684,0.0011684
44,925.692,2.43315,2.06396,3.09497,0.83634,0.78982,0.88393,0.61231,2.18968,1.45179,3.15429,0.0011486,0.0011486,0.0011486
45,946.819,2.40177,1.99889,3.08481,0.81401,0.80531,0.87871,0.61445,2.26759,1.40078,3.20528,0.0011288,0.0011288,0.0011288
46,968.804,2.43303,2.00962,3.07419,0.85035,0.76687,0.89372,0.61639,2.15656,1.4159,3.12566,0.001109,0.001109,0.001109
47,990.227,2.42626,1.95892,3.10142,0.83467,0.81539,0.90281,0.62648,2.12078,1.37464,3.0795,0.0010892,0.0010892,0.0010892
48,1013.11,2.33042,1.89481,3.02159,0.86089,0.79646,0.90296,0.61373,2.27223,1.32093,3.24155,0.0010694,0.0010694,0.0010694
49,1034.67,2.36258,1.92608,3.04441,0.84717,0.85177,0.91739,0.64405,2.14871,1.23769,3.14491,0.0010496,0.0010496,0.0010496
50,1055.63,2.3823,1.87311,3.02437,0.89988,0.81195,0.91061,0.63922,2.17048,1.29976,3.12959,0.0010298,0.0010298,0.0010298
51,1077.69,2.29196,1.85469,2.97566,0.86053,0.82965,0.92292,0.64945,2.14572,1.25114,3.09221,0.00101,0.00101,0.00101
52,1099.94,2.33203,1.88322,3.00267,0.8539,0.82743,0.91813,0.63358,2.16697,1.30638,3.10914,0.0009902,0.0009902,0.0009902
53,1122.38,2.29623,1.817,2.99651,0.85088,0.84583,0.91945,0.64219,2.15781,1.21777,3.09732,0.0009704,0.0009704,0.0009704
54,1145.34,2.32709,1.8207,2.99813,0.88684,0.82743,0.92975,0.6562,2.12873,1.18584,3.10469,0.0009506,0.0009506,0.0009506
55,1168.39,2.25418,1.75051,2.94076,0.88749,0.86504,0.93212,0.65259,2.18561,1.14786,3.13699,0.0009308,0.0009308,0.0009308
56,1190.48,2.27951,1.75092,2.97156,0.85659,0.88496,0.94073,0.65408,2.09043,1.15908,3.05768,0.000911,0.000911,0.000911
57,1211.95,2.27274,1.75956,2.94079,0.88102,0.85177,0.93621,0.66596,2.08614,1.14313,3.05332,0.0008912,0.0008912,0.0008912
58,1233.02,2.22619,1.70934,2.92208,0.8491,0.88938,0.93788,0.66432,2.09543,1.12464,3.04867,0.0008714,0.0008714,0.0008714
59,1255.38,2.16869,1.72513,2.89082,0.84461,0.88938,0.94256,0.66224,2.11585,1.1205,3.06086,0.0008516,0.0008516,0.0008516
60,1278.52,2.21231,1.69411,2.91277,0.88757,0.84956,0.9448,0.6692,2.10082,1.1163,3.06063,0.0008318,0.0008318,0.0008318
61,1309.98,2.22849,1.71366,2.9115,0.87337,0.88498,0.94403,0.66187,2.08363,1.13016,3.03401,0.000812,0.000812,0.000812
62,1340.21,2.17703,1.63237,2.86402,0.89748,0.87168,0.9508,0.68581,2.00944,1.05991,2.99538,0.0007922,0.0007922,0.0007922
63,1362.27,2.19055,1.64494,2.88181,0.88327,0.88724,0.95584,0.67996,2.01918,1.07742,2.96097,0.0007724,0.0007724,0.0007724
64,1383.68,2.1418,1.64029,2.85787,0.91857,0.85177,0.94627,0.67805,2.02567,1.0633,2.9958,0.0007526,0.0007526,0.0007526
65,1406.62,2.17415,1.6531,2.87033,0.9117,0.82238,0.93957,0.67381,2.04472,1.10717,2.99655,0.0007328,0.0007328,0.0007328
66,1428.84,2.1308,1.62103,2.84895,0.87158,0.91596,0.95849,0.68807,2.04574,1.05119,2.98869,0.000713,0.000713,0.000713
67,1449.45,2.12387,1.58435,2.82621,0.87613,0.90761,0.95632,0.69266,1.99687,1.00541,2.9421,0.0006932,0.0006932,0.0006932
68,1471.62,2.15768,1.58235,2.85623,0.89938,0.8701,0.95027,0.68318,1.94922,1.09528,2.90777,0.0006734,0.0006734,0.0006734
69,1493.96,2.0918,1.53901,2.84189,0.88479,0.86655,0.9473,0.68787,1.96882,1.02999,2.91787,0.0006536,0.0006536,0.0006536
70,1515.96,2.13792,1.5803,2.85028,0.91072,0.88014,0.94409,0.68011,1.99967,1.05351,2.95853,0.0006338,0.0006338,0.0006338
71,1537.36,2.10729,1.54423,2.82134,0.91452,0.87581,0.95579,0.69214,1.97361,1.01148,2.94325,0.000614,0.000614,0.000614
72,1557.7,2.14564,1.56016,2.82291,0.89308,0.93805,0.96603,0.70338,1.93332,0.95987,2.92874,0.0005942,0.0005942,0.0005942
73,1580.01,2.10728,1.55012,2.83403,0.90583,0.90708,0.96093,0.70072,1.99263,1.00199,2.95209,0.0005744,0.0005744,0.0005744
74,1601.59,2.09027,1.55992,2.8175,0.88038,0.88496,0.94586,0.69405,1.96359,1.03649,2.944,0.0005546,0.0005546,0.0005546
75,1624.74,2.06213,1.52756,2.78215,0.90773,0.87058,0.94863,0.68867,1.96114,1.03243,2.92829,0.0005348,0.0005348,0.0005348
76,1647.85,2.03814,1.47525,2.78319,0.905,0.9063,0.95963,0.70355,1.90048,0.96573,2.8664,0.000515,0.000515,0.000515
77,1671.38,2.06954,1.54668,2.79041,0.92876,0.8653,0.95513,0.70128,1.94872,0.98607,2.90685,0.0004952,0.0004952,0.0004952
78,1693.65,2.03961,1.5081,2.75863,0.91117,0.9077,0.96443,0.72,1.86331,0.93099,2.83669,0.0004754,0.0004754,0.0004754
79,1715.66,2.01433,1.45853,2.75682,0.92221,0.89381,0.96533,0.70733,1.939,0.95751,2.87853,0.0004556,0.0004556,0.0004556
80,1738.5,1.99188,1.45405,2.75068,0.91407,0.87389,0.958,0.71891,1.87734,0.94369,2.85708,0.0004358,0.0004358,0.0004358
81,1761.58,2.0033,1.4678,2.75414,0.90378,0.89357,0.96168,0.70661,1.89306,0.94938,2.86491,0.000416,0.000416,0.000416
82,1784.08,1.99502,1.42658,2.72894,0.90728,0.88759,0.95797,0.69358,1.93135,0.96995,2.89876,0.0003962,0.0003962,0.0003962
83,1805.02,2.00695,1.46569,2.75598,0.90373,0.90265,0.96239,0.72201,1.85454,0.96017,2.81954,0.0003764,0.0003764,0.0003764
