epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,31.2982,6.15565,7.15675,7.74492,0.00199,0.29963,0.00616,0.0018,6.69899,7.94364,8.55543,0.000661538,0.000661538,0.000661538
2,47.2474,4.49775,5.48827,5.3508,0.21805,0.27435,0.12752,0.03053,5.01889,7.12703,6.00139,0.00131944,0.00131944,0.00131944
3,64.2599,4.10099,4.92835,4.783,0.20171,0.17695,0.08996,0.02617,4.89207,7.68015,5.96298,0.00196854,0.00196854,0.00196854
4,83.9443,3.84126,4.51775,4.47235,0.26813,0.22974,0.16339,0.049,4.66393,5.90965,5.55537,0.0019604,0.0019604,0.0019604
5,107.303,3.64991,4.23695,4.27406,0.30548,0.28386,0.20283,0.07164,4.08237,5.65612,4.76355,0.0019472,0.0019472,0.0019472
6,131.244,3.50854,3.99568,4.1073,0.57582,0.40149,0.41847,0.14991,4.24591,4.24275,4.85414,0.001934,0.001934,0.001934
7,155.171,3.38979,3.79756,3.97688,0.52396,0.41784,0.42391,0.1529,4.10139,3.82992,4.75553,0.0019208,0.0019208,0.0019208
8,180.049,3.33427,3.63794,3.90964,0.53813,0.45651,0.48663,0.20337,3.81508,3.62758,4.44402,0.0019076,0.0019076,0.0019076
9,208.214,3.24787,3.50203,3.84634,0.5771,0.47361,0.50723,0.24518,3.50138,3.30951,4.14037,0.0018944,0.0018944,0.0018944
10,235.54,3.23507,3.41064,3.78903,0.59855,0.47881,0.56054,0.23937,3.83884,3.11442,4.43492,0.0018812,0.0018812,0.0018812
11,269.87,3.14513,3.30932,3.73247,0.58336,0.46394,0.47409,0.1609,4.15964,3.04847,4.95149,0.001868,0.001868,0.001868
12,306.651,3.08986,3.20337,3.67132,0.65141,0.5316,0.57776,0.22511,4.05935,2.64009,4.7514,0.0018548,0.0018548,0.0018548
13,342.769,3.05296,3.12939,3.63953,0.69859,0.58364,0.65345,0.3046,3.6442,2.62046,4.28398,0.0018416,0.0018416,0.0018416
14,376.554,3.04432,3.09169,3.61315,0.75819,0.52565,0.65505,0.23967,4.04349,2.64329,4.69647,0.0018284,0.0018284,0.0018284
15,410.079,3.00706,2.98189,3.57907,0.711,0.54875,0.64013,0.25955,4.01092,2.50048,4.68728,0.0018152,0.0018152,0.0018152
16,449.756,2.94474,2.93944,3.5356,0.75459,0.57175,0.68697,0.35498,3.38748,2.48964,3.99021,0.001802,0.001802,0.001802
